phase	source	target_crate	target	operation	preparation	source_sha256	declared_types
06	database/src/repository/catalog/sellable.rs	erp-catalog	crates/erp-catalog/src/repository/catalog/sellable.rs	move-with-owned-repositories	01	065aa0502f6cf7f18a1eb25d3b83dd8d3ded4debf00b3ab137eb28fe1207e619	SellableSkuFilter,SellableSkuRow,SellableSkuFacet,SellableSkuTotal
06	database/src/repository/catalog/shared.rs	erp-catalog	crates/erp-catalog/src/repository/catalog/shared.rs	move-with-owned-repositories	01	17fde3d88f2c03ba997d1227a42f78bdd5d38bc41a92709476e1cff344b302a6	-
06	database/src/repository/catalog/sku.rs	erp-catalog	crates/erp-catalog/src/repository/catalog/sku.rs	move-with-owned-repositories	01	e5d99f60c7898162838c66a9f92489f02f9402592a0dbca1a7c599c32b6ba1ef	SkuRow,SkuFilter,SkuRevisionRow,SkuRevisionFilter
06	database/src/repository/catalog/specification_audit.rs	erp-catalog	crates/erp-catalog/src/repository/catalog/specification_audit.rs	move-with-owned-repositories	01	964a70aa2efbd4831bc9fa8d0daadaaf7a4bc0a77d2cf6c1390bdd6277e9a2a7	SpecificationSignatureAuditRow
06	database/src/repository/catalog/voucher.rs	erp-catalog	crates/erp-catalog/src/repository/catalog/voucher.rs	move-with-owned-repositories	01	b1faa002959a1eced520a6e680473b70c20a4d9707b61906a7c0e4686eee418b	VoucherCategoryProfileRevisionRow,VoucherCategoryProfileRevisionFilter
06	database/src/repository/contract.rs	erp-contract	crates/erp-contract/src/repository/contract.rs	move-with-owned-repositories	01	cce451f34798e5336f9783472a750cb1a02a779ccc1cbb82aaf7518d327c0bca	ContractRow,ContractRevisionNoRow,ContractFilter,ContractRepository
09	database/src/repository/cost.rs	erp-finance	crates/erp-finance/src/repository/cost.rs	move-with-owned-repositories	01	99ae6497053ea8cd8d131d0b2acc007b16f3673c2ffce4a5661b0127b97ca41f	CostEntryRow,CostEntryFilter,CostAllocationRow,CostAllocationFilter,CostRepository
05	database/src/repository/customer.rs	erp-customer	crates/erp-customer/src/repository/customer.rs	move-with-owned-repositories	01	26008b2458c0b7193efaa687e5e65c5c3987544ff3ae1c92690935760462c7c7	CustomerAccountRow,CustomerNumberRow,CustomerAccountFilter,CustomerAssignmentRow,CustomerAssignmentFilter
09	database/src/repository/customer_center_receivable.rs	erp-finance	crates/erp-finance/src/repository/receivable/customer_center.rs	move-provider-facts	01	5de9a2fead3a6e87fa5e1f935d1f97fef25baaec48f442cb845e28449f071468	CustomerCenterReceivableRow
03	database/src/repository/customer_center_related.rs	erp-read-models	crates/erp-read-models/src/customer_center/repository/related.rs	split-own-read-repository	01	d3b7d10d6d42d2a12fb05ebbcb432eb963135c8cfb61ef5084ab491831d02e11	CustomerCenterContractRow,CustomerCenterSalesOrderRow,CustomerCenterRelatedRow
03	database/src/repository/document_registry.rs	erp-workflow	crates/erp-workflow/src/repository/document_registry.rs	move-with-owned-repositories	01	219a5c1f014c1eb3437456231e7b8f0960525fc78697106c87299b8749a00aef	BusinessDocumentRow,BusinessDocumentFilter,ApprovalBindingLookup,ApprovalBindingRow,BusinessDocumentIdRow,ParticipantDocumentIdRow,WorkflowActionRow,WorkflowActionFilter
02	database/src/repository/extensions/access_control.rs	erp-identity	crates/erp-identity/src/repository/extensions/access_control.rs	move-with-owned-repositories	01	948b0b58693af4637d87269dc7a9cce0b8a030ac39f802af9843063eef33607d	AccessControlExt,PermissionFilter,DataScopeFilter,AuditEventFilter
03	database/src/repository/extensions/approval_integration.rs	erp-workflow	crates/erp-workflow/src/repository/extensions/approval_integration.rs	move-with-owned-repositories	01	e8ca319ce61c416c483bc5f3bdfd6666f7e4b238f74d3970d18812a9cb39dcd9	ApprovalIntegrationExt
03	database/src/repository/extensions/bpm.rs	erp-workflow	crates/erp-workflow/src/repository/extensions/bpm.rs	move-with-owned-repositories	01	cd1913e22ed2deb1787b2b3cfa2277d00e1921df78c9532daff22cfebd05b92f	BpmExt
04	database/src/repository/extensions/bulk_job.rs	erp-support	crates/erp-support/src/repository/extensions/bulk_job.rs	move-with-owned-repositories	01	f74255f497d991b34e7b0bfb4fa208a4de1364fad3047c2056235337e5d5e792	BulkJobExt,BulkSelectionSnapshotFilter,BackgroundJobFilter
06	database/src/repository/extensions/catalog.rs	erp-catalog	crates/erp-catalog/src/repository/extensions/catalog.rs	move-with-owned-repositories	01	cc8c7f833a5c4f98be5907e6379bf39ea30393229f63dd751f00d2ff56ed6245	CatalogExt,ProductCategoryFilter,ProductBrandFilter,UnitOfMeasureFilter,SkuAttributeFilter,SkuAttributeValueFilter,ProductCategoryAttributeFilter,ProductFilter,SellableSkuFilter,ProductRevisionFilter,SkuFilter,SkuRevisionFilter,VoucherCategoryProfileRevisionFilter,CategoryParentChainFact,ProductListingSummary
06	database/src/repository/extensions/contract.rs	erp-contract	crates/erp-contract/src/repository/extensions/contract.rs	move-with-owned-repositories	01	320ad37ddfa62c00002c4d4e0bc268c0bd3243729bbd00beb9fe074bc4beb591	ContractExt,ContractFilter
09	database/src/repository/extensions/cost.rs	erp-finance	crates/erp-finance/src/repository/extensions/cost.rs	move-with-owned-repositories	01	ff85a976bec0cccced4cc2e550b9563b9fd1665d8a20826d051411726c9d2f45	CostExt,CostEntryFilter,CostEntryRow,CostAllocationFilter
05	database/src/repository/extensions/customer.rs	erp-customer	crates/erp-customer/src/repository/extensions/customer.rs	move-with-owned-repositories	01	37dc5f37c8242e1bf05b454a02615b16bdafc04e313fbcc2df884fb8b676dd45	CustomerExt,CustomerAccountFilter,CustomerAssignmentFilter
03	database/src/repository/extensions/document_registry.rs	erp-workflow	crates/erp-workflow/src/repository/extensions/document_registry.rs	move-with-owned-repositories	01	3ea5ccaa0cc66ffeb01e01c5c7b2b1ad76a798222c560886887c9078cf0913c0	DocumentRegistryExt,BusinessDocumentFilter,WorkflowActionFilter
04	database/src/repository/extensions/file_asset.rs	erp-support	crates/erp-support/src/repository/extensions/file_asset.rs	move-with-owned-repositories	01	2bdfbe3595af1e762ee80ab61965d7e165d78349b64b31bf087902dc6d92aa98	FileAssetExt,FileAssetFilter
12	database/src/repository/extensions/fulfillment.rs	erp-fulfillment	crates/erp-fulfillment/src/repository/extensions/fulfillment.rs	move-with-owned-repositories	01	b97f4a7d87227ce810519b54991fc1ee0cd67ed591f610b06590308d01a41653	FulfillmentExt,PurchaseReceiptFilter,DeliveryFilter,ElectronicDeliveryFilter,ServiceFulfillmentFilter,CustomerAcceptanceFilter
14	database/src/repository/extensions/integration_ops.rs	erp-integration	crates/erp-integration/src/repository/extensions/integration_ops.rs	move-with-owned-repositories	01	fb52c5e366eb6581bc7055a90630fbf09a8582f042eaed3fc570251e4b8f4914	IntegrationOpsExt,InboxMessageFilter,IntegrationErrorTaskFilter,ReconciliationDifferenceFilter
08	database/src/repository/extensions/inventory.rs	erp-inventory	crates/erp-inventory/src/repository/extensions/inventory.rs	move-with-owned-repositories	01	aee1fe6f1f9ac8c68a5b929009351c46da16f18bffc82777e5f0c8f98f560714	InventoryExt,StockMovementFilter,StockBalanceFilter,StockReservationFilter,StockAdjustmentFilter
07	database/src/repository/extensions/legacy_import.rs	erp-import	crates/erp-import/src/repository/extensions/legacy_import.rs	move-with-owned-repositories	01	aa7d9e63dfba233dc6790ebfd29256887a013b9834fe85613b283d46fd4c8c2c	LegacyImportExt,LegacyImportBatchFilter,LegacyImportRowFilter,LegacyImportConfirmationFilter
17	database/src/repository/extensions/mod.rs			remove-legacy-registry	01-16	0eb710493f489c084992fa35ec3d3fde8e91a5cfb6ef9531d6c2fed7b17a2e8c	DatabaseExt
05	database/src/repository/extensions/party.rs	erp-party	crates/erp-party/src/repository/extensions/party.rs	move-with-owned-repositories	01	c00692378b7556b37c4fc1cee72ac69fe4f5d1a4b5a53a0e3f027b195bd7d7fc	PartyExt,PartyFilter,PartyRevisionFilter,PartyContactFilter,PartyAddressFilter,PartyTaxProfileFilter,PartyBankAccountFilter
09	database/src/repository/extensions/payable.rs	erp-finance	crates/erp-finance/src/repository/extensions/payable.rs	move-with-owned-repositories	01	38dc5b83dbbbf9f8a0bc5452689b840c29c87432c227c903678eb83ad43783f0	PayableExt,PayableAccountFilter,SupplierPaymentFilter,PurchaseInvoiceAllocationFilter
11	database/src/repository/extensions/procurement_responsibility.rs	erp-procurement	crates/erp-procurement/src/repository/extensions/procurement_responsibility.rs	move-with-owned-repositories	01	684d1301560128431041115c362b8f851c1ff3766f190577cafdaeed5bf1de8a	ProcurementResponsibilityExt,ProcurementResponsibilityRuleFilter
11	database/src/repository/extensions/purchase_order.rs	erp-procurement	crates/erp-procurement/src/repository/extensions/purchase_order.rs	move-with-owned-repositories	01	bb9e6d8dc950832f36508acb6ae77350a7e7a3e9e6ce23c7fe3168cbb2b8b730	PurchaseOrderExt,PurchaseOrderFilter,PurchaseOrderSubmissionFilter
09	database/src/repository/extensions/receivable.rs	erp-finance	crates/erp-finance/src/repository/extensions/receivable.rs	move-with-owned-repositories	01	e44927212e902fce156e9c10d9f0ee9f66e1768e83858284dfba0b34df0a4ac8	ReceivableExt,ReceivableAccountFilter,CustomerReceiptFilter,InvoiceFilter
13	database/src/repository/extensions/returns.rs	erp-returns	crates/erp-returns/src/repository/extensions/returns.rs	move-with-owned-repositories	01	351fd7b787a7f82d8b81409ef71dd42ad09f2cb7830098d454499fe896aa0753	ReturnsExt,SalesReturnCaseFilter,PurchaseReturnOrderFilter,CustomerRefundFilter
10	database/src/repository/extensions/sales_order.rs	erp-sales	crates/erp-sales/src/repository/extensions/sales_order.rs	move-with-owned-repositories	01	7d06ada99ab41feaa4d4f989dc4392808daca867b5f1cca3a2a947e4a88d9d8d	SalesOrderExt,SalesOrderFilter,WorkingCopyFilter,SubmissionFilter
10	database/src/repository/extensions/sales_review.rs	erp-sales	crates/erp-sales/src/repository/extensions/sales_review.rs	move-with-owned-repositories	01	9368e72abfb37f218e2a3e04a994de84471607ecf9ff300b8eff394fc51ca54b	SalesReviewExt,SalesChangeOrderFilter
04	database/src/repository/extensions/source_registry.rs	erp-support	crates/erp-support/src/repository/extensions/source_registry.rs	move-with-owned-repositories	01	d5e9dc053eac4be37ae1c1be1fc9c671f222d8bcaacaa10a0007bf9700e0d7cf	SourceRegistryExt,SourceSystemFilter,ExternalIdentityMapFilter
05	database/src/repository/extensions/supplier.rs	erp-supplier	crates/erp-supplier/src/repository/extensions/supplier.rs	move-with-owned-repositories	01	6035af14b904d52baf37b3b82ad6c478658593aab37661b35fd81a69704bbe29	SupplierExt,SupplierAccountFilter,SupplierCommercialProfileFilter,SupplierCapabilityFilter,SupplierQualificationFilter,SupplierListSearchInput,SupplierListBundle,SupplierDetailBundle,SupplierQualificationHealthFilter
16	database/src/repository/extensions/supplier_api.rs	erp-supply	crates/erp-supply/src/repository/extensions/supplier_api.rs	move-with-owned-repositories	01	6c20b04a4c562ad6cd71e6ccb411a6b0a9c2cfc4ea6e4004bd975b35036e41cd	SupplierApiExt,SupplierApiConnectionFilter,SupplierApiCapabilityFilter,SupplierConnectionImpact
16	database/src/repository/extensions/supplier_fulfillment.rs	erp-supply	crates/erp-supply/src/repository/extensions/supplier_fulfillment.rs	move-with-owned-repositories	01	15469d07331e09b18c1c0ad766deb21b1c7b3b3bff5f369bd74f2ea69e542260	SupplierFulfillmentExt,SupplierFulfillmentOrderFilter
16	database/src/repository/extensions/supplier_offering.rs	erp-supply	crates/erp-supply/src/repository/extensions/supplier_offering.rs	move-with-owned-repositories	01	26d3612822082d8af0fc1ddb82a69b21e87160c801cf051c7f324ed923c5e179	SupplierOfferingExt,SupplierOfferingFilter,OfferingListQuery
16	database/src/repository/extensions/supplier_settlement.rs	erp-supply	crates/erp-supply/src/repository/extensions/supplier_settlement.rs	move-with-owned-repositories	01	9c8a849e5a1d63ffd8e6dae233211d446cf0e7d475b769ca71f69db2a8a45c4a	SupplierSettlementExt,SupplierSettlementStatementFilter,SupplierSettlementItemFilter,SupplierSettlementDifferenceFilter
06	database/src/repository/extensions/warehouse.rs	erp-warehouse	crates/erp-warehouse/src/repository/extensions/warehouse.rs	move-with-owned-repositories	01	f712bfaf5f5fe7b56422bfcde1d0f8ce9947e68d0dfe066f668d75be70895953	WarehouseExt,WarehouseFilter,WarehouseRevisionFilter,WarehouseSkuPolicyFilter
03	database/src/repository/extensions/work_item.rs	erp-workflow	crates/erp-workflow/src/repository/extensions/work_item.rs	move-with-owned-repositories	01	a99b1a06dc5a948d0ddd9caead2d7749bf55d4103cede1ea356ce9e5f1f95753	WorkItemExt,WorkItemFilter
04	database/src/repository/file_asset.rs	erp-support	crates/erp-support/src/repository/file_asset.rs	move-with-owned-repositories	01	a09130379d14fe8ed1401b1337a7fb5bfc10982120c5d29d3fcf7810c0ff2585	FileAssetRow,FileAssetFilter
12	database/src/repository/fulfillment/customer_acceptance.rs	erp-fulfillment	crates/erp-fulfillment/src/repository/fulfillment/customer_acceptance.rs	move-with-owned-repositories	01	149d91da6089eabf2b6e5c9d131808bf6e5d28367fbc484e6faab95fef63009b	CustomerAcceptanceRow,CustomerAcceptanceFilter
12	database/src/repository/fulfillment/delivery.rs	erp-fulfillment	crates/erp-fulfillment/src/repository/fulfillment/delivery.rs	move-with-owned-repositories	01	5725f59e5b43a9f365ab6e123b06c685aeefe05b56ae413eb4492cbf8febe523	DeliveryRow,DeliveryFilter
12	database/src/repository/fulfillment/electronic_delivery.rs	erp-fulfillment	crates/erp-fulfillment/src/repository/fulfillment/electronic_delivery.rs	move-with-owned-repositories	01	1973fbc38d1f757e16e9888852f53ce2f6979503fe490c523424638fbe4588d1	ElectronicDeliveryRow,ElectronicDeliveryFilter
