entity	owned_type	preparation_phase	owner_phase	target_crate	prepare_at	final_type_definition	impl_sources
CustomerAccount	CustomerAccountRepository	01	05	erp-customer	database/src/repository/owned/customer_account.rs	crates/erp-customer/src/repository/owned/customer_account.rs	database/src/repository/customer.rs,database/src/repository/customer_center_related.rs
CustomerAssignment	CustomerAssignmentRepository	01	05	erp-customer	database/src/repository/owned/customer_assignment.rs	crates/erp-customer/src/repository/owned/customer_assignment.rs	database/src/repository/customer.rs
CustomerProfileCommand	CustomerProfileCommandRepository	01	05	erp-customer	database/src/repository/owned/customer_profile_command.rs	crates/erp-customer/src/repository/owned/customer_profile_command.rs	database/src/repository/customer.rs
CustomerReceipt	CustomerReceiptRepository	01	09	erp-finance	database/src/repository/owned/customer_receipt.rs	crates/erp-finance/src/repository/owned/customer_receipt.rs	database/src/repository/receivable/receipt.rs
CustomerRefund	CustomerRefundRepository	01	13	erp-returns	database/src/repository/owned/customer_refund.rs	crates/erp-returns/src/repository/owned/customer_refund.rs	database/src/repository/returns.rs,database/src/repository/returns_posted_totals.rs
DataScope	DataScopeRepository	01	02	erp-identity	database/src/repository/owned/data_scope.rs	crates/erp-identity/src/repository/owned/data_scope.rs	database/src/repository/access_control.rs
Delivery	DeliveryRepository	01	12	erp-fulfillment	database/src/repository/owned/delivery.rs	crates/erp-fulfillment/src/repository/owned/delivery.rs	database/src/repository/fulfillment/delivery.rs
DocumentAttachment	DocumentAttachmentRepository	01	04	erp-support	database/src/repository/owned/document_attachment.rs	crates/erp-support/src/repository/owned/document_attachment.rs	database/src/repository/file_asset.rs
DocumentParticipant	DocumentParticipantRepository	01	03	erp-workflow	database/src/repository/owned/document_participant.rs	crates/erp-workflow/src/repository/owned/document_participant.rs	database/src/repository/document_registry.rs
DocumentRelation	DocumentRelationRepository	01	03	erp-workflow	database/src/repository/owned/document_relation.rs	crates/erp-workflow/src/repository/owned/document_relation.rs	database/src/repository/document_registry.rs
ElectronicDelivery	ElectronicDeliveryRepository	01	12	erp-fulfillment	database/src/repository/owned/electronic_delivery.rs	crates/erp-fulfillment/src/repository/owned/electronic_delivery.rs	database/src/repository/fulfillment/electronic_delivery.rs
ExternalIdentityMap	ExternalIdentityMapRepository	01	04	erp-support	database/src/repository/owned/external_identity_map.rs	crates/erp-support/src/repository/owned/external_identity_map.rs	database/src/repository/source_registry.rs
ExternalIdentityTarget	ExternalIdentityTargetRepository	01	04	erp-support	database/src/repository/owned/external_identity_target.rs	crates/erp-support/src/repository/owned/external_identity_target.rs	database/src/repository/source_registry.rs
FileAsset	FileAssetRepository	01	04	erp-support	database/src/repository/owned/file_asset.rs	crates/erp-support/src/repository/owned/file_asset.rs	database/src/repository/file_asset.rs
FinanceResponsibilityRule	FinanceResponsibilityRuleRepository	01	03	erp-workflow	database/src/repository/owned/finance_responsibility_rule.rs	crates/erp-workflow/src/repository/owned/finance_responsibility_rule.rs	database/src/repository/work_item/finance.rs
InboxMessage	InboxMessageRepository	01	14	erp-integration	database/src/repository/owned/inbox_message.rs	crates/erp-integration/src/repository/owned/inbox_message.rs	database/src/repository/integration_ops.rs
IntegrationErrorTask	IntegrationErrorTaskRepository	01	14	erp-integration	database/src/repository/owned/integration_error_task.rs	crates/erp-integration/src/repository/owned/integration_error_task.rs	database/src/repository/integration_ops.rs
Invoice	InvoiceRepository	01	09	erp-finance	database/src/repository/owned/invoice.rs	crates/erp-finance/src/repository/owned/invoice.rs	database/src/repository/receivable/invoice.rs
LegacyImportBatch	LegacyImportBatchRepository	01	07	erp-import	database/src/repository/owned/legacy_import_batch.rs	crates/erp-import/src/repository/owned/legacy_import_batch.rs	database/src/repository/legacy_import/mod.rs
LegacyImportConfirmation	LegacyImportConfirmationRepository	01	07	erp-import	database/src/repository/owned/legacy_import_confirmation.rs	crates/erp-import/src/repository/owned/legacy_import_confirmation.rs	database/src/repository/legacy_import/mod.rs,database/src/repository/legacy_import/supersede_batch.rs
LegacyImportRow	LegacyImportRowRepository	01	07	erp-import	database/src/repository/owned/legacy_import_row.rs	crates/erp-import/src/repository/owned/legacy_import_row.rs	database/src/repository/legacy_import/apply_scope.rs,database/src/repository/legacy_import/failed_retry.rs,database/src/repository/legacy_import/mod.rs
Party	PartyRepository	01	05	erp-party	database/src/repository/owned/party.rs	crates/erp-party/src/repository/owned/party.rs	database/src/repository/party/record.rs
PartyAddress	PartyAddressRepository	01	05	erp-party	database/src/repository/owned/party_address.rs	crates/erp-party/src/repository/owned/party_address.rs	database/src/repository/party/address.rs
PartyBankAccount	PartyBankAccountRepository	01	05	erp-party	database/src/repository/owned/party_bank_account.rs	crates/erp-party/src/repository/owned/party_bank_account.rs	database/src/repository/party/bank_account.rs
PartyContact	PartyContactRepository	01	05	erp-party	database/src/repository/owned/party_contact.rs	crates/erp-party/src/repository/owned/party_contact.rs	database/src/repository/party/contact.rs
PartyRevision	PartyRevisionRepository	01	05	erp-party	database/src/repository/owned/party_revision.rs	crates/erp-party/src/repository/owned/party_revision.rs	database/src/repository/party/revision.rs
PartyTaxProfile	PartyTaxProfileRepository	01	05	erp-party	database/src/repository/owned/party_tax_profile.rs	crates/erp-party/src/repository/owned/party_tax_profile.rs	database/src/repository/party/tax_profile.rs
PayableAccount	PayableAccountRepository	01	09	erp-finance	database/src/repository/owned/payable_account.rs	crates/erp-finance/src/repository/owned/payable_account.rs	database/src/repository/payable/account/invoicing.rs,database/src/repository/payable/account/query.rs,database/src/repository/payable/account/settlement.rs,database/src/repository/payable/account/write.rs
PayableEntry	PayableEntryRepository	01	09	erp-finance	database/src/repository/owned/payable_entry.rs	crates/erp-finance/src/repository/owned/payable_entry.rs	database/src/repository/payable/entry.rs
PayableEntryOffset	PayableEntryOffsetRepository	01	09	erp-finance	database/src/repository/owned/payable_entry_offset.rs	crates/erp-finance/src/repository/owned/payable_entry_offset.rs	database/src/repository/payable/entry.rs
PaymentAllocation	PaymentAllocationRepository	01	09	erp-finance	database/src/repository/owned/payment_allocation.rs	crates/erp-finance/src/repository/owned/payment_allocation.rs	database/src/repository/payable/allocation.rs
PaymentReversal	PaymentReversalRepository	01	13	erp-returns	database/src/repository/owned/payment_reversal.rs	crates/erp-returns/src/repository/owned/payment_reversal.rs	database/src/repository/returns.rs,database/src/repository/returns_posted_totals.rs
Permission	PermissionRepository	01	02	erp-identity	database/src/repository/owned/permission.rs	crates/erp-identity/src/repository/owned/permission.rs	database/src/repository/access_control.rs
ProcurementResponsibilityRule	ProcurementResponsibilityRuleRepository	01	11	erp-procurement	database/src/repository/owned/procurement_responsibility_rule.rs	crates/erp-procurement/src/repository/owned/procurement_responsibility_rule.rs	database/src/repository/procurement_responsibility/query.rs
Product	ProductRepository	01	06	erp-catalog	database/src/repository/owned/product.rs	crates/erp-catalog/src/repository/owned/product.rs	database/src/repository/catalog/product.rs
ProductBrand	ProductBrandRepository	01	06	erp-catalog	database/src/repository/owned/product_brand.rs	crates/erp-catalog/src/repository/owned/product_brand.rs	database/src/repository/catalog/dictionary.rs
ProductCategory	ProductCategoryRepository	01	06	erp-catalog	database/src/repository/owned/product_category.rs	crates/erp-catalog/src/repository/owned/product_category.rs	database/src/repository/catalog/category.rs,database/src/repository/catalog/parent_chain.rs
ProductCategoryAttribute	ProductCategoryAttributeRepository	01	06	erp-catalog	database/src/repository/owned/product_category_attribute.rs	crates/erp-catalog/src/repository/owned/product_category_attribute.rs	database/src/repository/catalog/category.rs
ProductRevision	ProductRevisionRepository	01	06	erp-catalog	database/src/repository/owned/product_revision.rs	crates/erp-catalog/src/repository/owned/product_revision.rs	database/src/repository/catalog/product.rs
ProductRevisionMedia	ProductRevisionMediaRepository	01	06	erp-catalog	database/src/repository/owned/product_revision_media.rs	crates/erp-catalog/src/repository/owned/product_revision_media.rs	database/src/repository/catalog/product.rs
PurchaseChangeOrder	PurchaseChangeOrderRepository	01	11	erp-procurement	database/src/repository/owned/purchase_change_order.rs	crates/erp-procurement/src/repository/owned/purchase_change_order.rs	database/src/repository/purchase_order/change.rs
PurchaseChangeSubmission	PurchaseChangeSubmissionRepository	01	11	erp-procurement	database/src/repository/owned/purchase_change_submission.rs	crates/erp-procurement/src/repository/owned/purchase_change_submission.rs	database/src/repository/purchase_order/change.rs
PurchaseChangeSubmissionLine	PurchaseChangeSubmissionLineRepository	01	11	erp-procurement	database/src/repository/owned/purchase_change_submission_line.rs	crates/erp-procurement/src/repository/owned/purchase_change_submission_line.rs	database/src/repository/purchase_order/change.rs
PurchaseInvoiceAllocation	PurchaseInvoiceAllocationRepository	01	09	erp-finance	database/src/repository/owned/purchase_invoice_allocation.rs	crates/erp-finance/src/repository/owned/purchase_invoice_allocation.rs	database/src/repository/payable/allocation.rs
PurchaseLineSalesAllocation	PurchaseLineSalesAllocationRepository	01	11	erp-procurement	database/src/repository/owned/purchase_line_sales_allocation.rs	crates/erp-procurement/src/repository/owned/purchase_line_sales_allocation.rs	database/src/repository/purchase_order/allocation.rs
PurchaseOrder	PurchaseOrderRepository	01	11	erp-procurement	database/src/repository/owned/purchase_order.rs	crates/erp-procurement/src/repository/owned/purchase_order.rs	database/src/repository/purchase_order/order.rs
PurchaseOrderRevision	PurchaseOrderRevisionRepository	01	11	erp-procurement	database/src/repository/owned/purchase_order_revision.rs	crates/erp-procurement/src/repository/owned/purchase_order_revision.rs	database/src/repository/purchase_order/revision.rs
PurchaseOrderRevisionLine	PurchaseOrderRevisionLineRepository	01	11	erp-procurement	database/src/repository/owned/purchase_order_revision_line.rs	crates/erp-procurement/src/repository/owned/purchase_order_revision_line.rs	database/src/repository/purchase_order/revision.rs
PurchaseOrderSubmission	PurchaseOrderSubmissionRepository	01	11	erp-procurement	database/src/repository/owned/purchase_order_submission.rs	crates/erp-procurement/src/repository/owned/purchase_order_submission.rs	database/src/repository/purchase_order/submission.rs
PurchaseOrderSubmissionLine	PurchaseOrderSubmissionLineRepository	01	11	erp-procurement	database/src/repository/owned/purchase_order_submission_line.rs	crates/erp-procurement/src/repository/owned/purchase_order_submission_line.rs	database/src/repository/purchase_order/submission.rs
PurchaseReceipt	PurchaseReceiptRepository	01	12	erp-fulfillment	database/src/repository/owned/purchase_receipt.rs	crates/erp-fulfillment/src/repository/owned/purchase_receipt.rs	database/src/repository/fulfillment/purchase_receipt.rs
PurchaseReturnLine	PurchaseReturnLineRepository	01	13	erp-returns	database/src/repository/owned/purchase_return_line.rs	crates/erp-returns/src/repository/owned/purchase_return_line.rs	database/src/repository/returns.rs
PurchaseReturnOrder	PurchaseReturnOrderRepository	01	13	erp-returns	database/src/repository/owned/purchase_return_order.rs	crates/erp-returns/src/repository/owned/purchase_return_order.rs	database/src/repository/returns.rs
ReceiptAllocation	ReceiptAllocationRepository	01	09	erp-finance	database/src/repository/owned/receipt_allocation.rs	crates/erp-finance/src/repository/owned/receipt_allocation.rs	database/src/repository/receivable/receipt.rs
ReceiptReversal	ReceiptReversalRepository	01	13	erp-returns	database/src/repository/owned/receipt_reversal.rs	crates/erp-returns/src/repository/owned/receipt_reversal.rs	database/src/repository/returns.rs,database/src/repository/returns_posted_totals.rs
ReceivableAccount	ReceivableAccountRepository	01	09	erp-finance	database/src/repository/owned/receivable_account.rs	crates/erp-finance/src/repository/owned/receivable_account.rs	database/src/repository/customer_center_receivable.rs,database/src/repository/receivable/account.rs,database/src/repository/receivable_card_funds.rs,database/src/repository/receivable_sales_order_summary.rs
ReceivableEntry	ReceivableEntryRepository	01	09	erp-finance	database/src/repository/owned/receivable_entry.rs	crates/erp-finance/src/repository/owned/receivable_entry.rs	database/src/repository/receivable/entry.rs,database/src/repository/receivable_card_funds.rs
ReceivableEntryOffset	ReceivableEntryOffsetRepository	01	09	erp-finance	database/src/repository/owned/receivable_entry_offset.rs	crates/erp-finance/src/repository/owned/receivable_entry_offset.rs	database/src/repository/receivable/entry.rs
ReceivableFundsReview	ReceivableFundsReviewRepository	01	09	erp-finance	database/src/repository/owned/receivable_funds_review.rs	crates/erp-finance/src/repository/owned/receivable_funds_review.rs	database/src/repository/receivable/entry.rs,database/src/repository/receivable_card_funds.rs
ReconciliationDifference	ReconciliationDifferenceRepository	01	14	erp-integration	database/src/repository/owned/reconciliation_difference.rs	crates/erp-integration/src/repository/owned/reconciliation_difference.rs	database/src/repository/integration_ops.rs
ReconciliationDifferenceResolution	ReconciliationDifferenceResolutionRepository	01	14	erp-integration	database/src/repository/owned/reconciliation_difference_resolution.rs	crates/erp-integration/src/repository/owned/reconciliation_difference_resolution.rs	database/src/repository/integration_ops.rs,database/src/repository/integration_ops/difference_resolution_batch.rs
Role	RoleRepository	01	02	erp-identity	database/src/repository/owned/role.rs	crates/erp-identity/src/repository/owned/role.rs	database/src/repository/role.rs
SalesChangeOrder	SalesChangeOrderRepository	01	10	erp-sales	database/src/repository/owned/sales_change_order.rs	crates/erp-sales/src/repository/owned/sales_change_order.rs	database/src/repository/sales_review.rs
SalesChangeSubmission	SalesChangeSubmissionRepository	01	10	erp-sales	database/src/repository/owned/sales_change_submission.rs	crates/erp-sales/src/repository/owned/sales_change_submission.rs	database/src/repository/sales_review.rs
SalesChangeSubmissionLine	SalesChangeSubmissionLineRepository	01	10	erp-sales	database/src/repository/owned/sales_change_submission_line.rs	crates/erp-sales/src/repository/owned/sales_change_submission_line.rs	database/src/repository/sales_review.rs
SalesInvoiceAllocation	SalesInvoiceAllocationRepository	01	09	erp-finance	database/src/repository/owned/sales_invoice_allocation.rs	crates/erp-finance/src/repository/owned/sales_invoice_allocation.rs	database/src/repository/receivable/invoice.rs
SalesOrder	SalesOrderRepository	01	10	erp-sales	database/src/repository/owned/sales_order.rs	crates/erp-sales/src/repository/owned/sales_order.rs	database/src/repository/sales_order/order.rs
SalesOrderGoodsServiceLineRevision	SalesOrderGoodsServiceLineRevisionRepository	01	10	erp-sales	database/src/repository/owned/sales_order_goods_service_line_revision.rs	crates/erp-sales/src/repository/owned/sales_order_goods_service_line_revision.rs	database/src/repository/sales_order/revision.rs
SalesOrderLine	SalesOrderLineRepository	01	10	erp-sales	database/src/repository/owned/sales_order_line.rs	crates/erp-sales/src/repository/owned/sales_order_line.rs	database/src/repository/sales_order/order.rs
SalesOrderRevision	SalesOrderRevisionRepository	01	10	erp-sales	database/src/repository/owned/sales_order_revision.rs	crates/erp-sales/src/repository/owned/sales_order_revision.rs	database/src/repository/sales_order/revision.rs
SalesOrderRevisionLine	SalesOrderRevisionLineRepository	01	10	erp-sales	database/src/repository/owned/sales_order_revision_line.rs	crates/erp-sales/src/repository/owned/sales_order_revision_line.rs	database/src/repository/sales_order/revision.rs
SalesOrderSubmission	SalesOrderSubmissionRepository	01	10	erp-sales	database/src/repository/owned/sales_order_submission.rs	crates/erp-sales/src/repository/owned/sales_order_submission.rs	database/src/repository/sales_order/submission.rs
SalesOrderSubmissionLine	SalesOrderSubmissionLineRepository	01	10	erp-sales	database/src/repository/owned/sales_order_submission_line.rs	crates/erp-sales/src/repository/owned/sales_order_submission_line.rs	database/src/repository/sales_order/submission.rs
SalesOrderVoucherLineRevision	SalesOrderVoucherLineRevisionRepository	01	10	erp-sales	database/src/repository/owned/sales_order_voucher_line_revision.rs	crates/erp-sales/src/repository/owned/sales_order_voucher_line_revision.rs	database/src/repository/sales_order/revision.rs
SalesOrderWorkingCopy	SalesOrderWorkingCopyRepository	01	10	erp-sales	database/src/repository/owned/sales_order_working_copy.rs	crates/erp-sales/src/repository/owned/sales_order_working_copy.rs	database/src/repository/sales_order/working_copy.rs
SalesOrderWorkingCopyLine	SalesOrderWorkingCopyLineRepository	01	10	erp-sales	database/src/repository/owned/sales_order_working_copy_line.rs	crates/erp-sales/src/repository/owned/sales_order_working_copy_line.rs	database/src/repository/sales_order/working_copy.rs
SalesReturnCase	SalesReturnCaseRepository	01	13	erp-returns	database/src/repository/owned/sales_return_case.rs	crates/erp-returns/src/repository/owned/sales_return_case.rs	database/src/repository/returns.rs
SalesReturnLine	SalesReturnLineRepository	01	13	erp-returns	database/src/repository/owned/sales_return_line.rs	crates/erp-returns/src/repository/owned/sales_return_line.rs	database/src/repository/returns.rs
ServiceFulfillment	ServiceFulfillmentRepository	01	12	erp-fulfillment	database/src/repository/owned/service_fulfillment.rs	crates/erp-fulfillment/src/repository/owned/service_fulfillment.rs	database/src/repository/fulfillment/service_fulfillment.rs
Sku	SkuRepository	01	06	erp-catalog	database/src/repository/owned/sku.rs	crates/erp-catalog/src/repository/owned/sku.rs	database/src/repository/catalog/sku.rs
SkuAttribute	SkuAttributeRepository	01	06	erp-catalog	database/src/repository/owned/sku_attribute.rs	crates/erp-catalog/src/repository/owned/sku_attribute.rs	database/src/repository/catalog/attribute.rs
SkuAttributeValue	SkuAttributeValueRepository	01	06	erp-catalog	database/src/repository/owned/sku_attribute_value.rs	crates/erp-catalog/src/repository/owned/sku_attribute_value.rs	database/src/repository/catalog/attribute.rs
SkuRevision	SkuRevisionRepository	01	06	erp-catalog	database/src/repository/owned/sku_revision.rs	crates/erp-catalog/src/repository/owned/sku_revision.rs	database/src/repository/catalog/sku.rs
SourceSystem	SourceSystemRepository	01	04	erp-support	database/src/repository/owned/source_system.rs	crates/erp-support/src/repository/owned/source_system.rs	database/src/repository/source_registry.rs
StockAdjustment	StockAdjustmentRepository	01	08	erp-inventory	database/src/repository/owned/stock_adjustment.rs	crates/erp-inventory/src/repository/owned/stock_adjustment.rs	database/src/repository/inventory/adjustment.rs
StockAdjustmentLine	StockAdjustmentLineRepository	01	08	erp-inventory	database/src/repository/owned/stock_adjustment_line.rs	crates/erp-inventory/src/repository/owned/stock_adjustment_line.rs	database/src/repository/inventory/adjustment.rs
StockBalance	StockBalanceRepository	01	08	erp-inventory	database/src/repository/owned/stock_balance.rs	crates/erp-inventory/src/repository/owned/stock_balance.rs	database/src/repository/inventory/balance.rs
StockMovement	StockMovementRepository	01	08	erp-inventory	database/src/repository/owned/stock_movement.rs	crates/erp-inventory/src/repository/owned/stock_movement.rs	database/src/repository/inventory/movement.rs
StockReservation	StockReservationRepository	01	08	erp-inventory	database/src/repository/owned/stock_reservation.rs	crates/erp-inventory/src/repository/owned/stock_reservation.rs	database/src/repository/inventory/reservation.rs
SupplierAccount	SupplierAccountRepository	01	05	erp-supplier	database/src/repository/owned/supplier_account.rs	crates/erp-supplier/src/repository/owned/supplier_account.rs	database/src/repository/supplier/account.rs
SupplierApiCapability	SupplierApiCapabilityRepository	01	16	erp-supply	database/src/repository/owned/supplier_api_capability.rs	crates/erp-supply/src/repository/owned/supplier_api_capability.rs	database/src/repository/supplier_api.rs
SupplierApiConnection	SupplierApiConnectionRepository	01	16	erp-supply	database/src/repository/owned/supplier_api_connection.rs	crates/erp-supply/src/repository/owned/supplier_api_connection.rs	database/src/repository/supplier_api.rs
SupplierCapability	SupplierCapabilityRepository	01	05	erp-supplier	database/src/repository/owned/supplier_capability.rs	crates/erp-supplier/src/repository/owned/supplier_capability.rs	database/src/repository/supplier/capability.rs
SupplierCommercialProfileRevision	SupplierCommercialProfileRevisionRepository	01	05	erp-supplier	database/src/repository/owned/supplier_commercial_profile_revision.rs	crates/erp-supplier/src/repository/owned/supplier_commercial_profile_revision.rs	database/src/repository/supplier/revision.rs
SupplierConnectionCommandReceipt	SupplierConnectionCommandReceiptRepository	01	16	erp-supply	database/src/repository/owned/supplier_connection_command_receipt.rs	crates/erp-supply/src/repository/owned/supplier_connection_command_receipt.rs	database/src/repository/supplier_api.rs
SupplierFulfillmentItem	SupplierFulfillmentItemRepository	01	16	erp-supply	database/src/repository/owned/supplier_fulfillment_item.rs	crates/erp-supply/src/repository/owned/supplier_fulfillment_item.rs	database/src/repository/supplier_fulfillment.rs
SupplierFulfillmentOrder	SupplierFulfillmentOrderRepository	01	16	erp-supply	database/src/repository/owned/supplier_fulfillment_order.rs	crates/erp-supply/src/repository/owned/supplier_fulfillment_order.rs	database/src/repository/supplier_fulfillment.rs
SupplierHealthCheckRun	SupplierHealthCheckRunRepository	01	16	erp-supply	database/src/repository/owned/supplier_health_check_run.rs	crates/erp-supply/src/repository/owned/supplier_health_check_run.rs	database/src/repository/supplier_api.rs
SupplierOffering	SupplierOfferingRepository	01	16	erp-supply	database/src/repository/owned/supplier_offering.rs	crates/erp-supply/src/repository/owned/supplier_offering.rs	database/src/repository/supplier_offering.rs,database/src/repository/supplier_offering/query.rs
SupplierOfferingAvailability	SupplierOfferingAvailabilityRepository	01	16	erp-supply	database/src/repository/owned/supplier_offering_availability.rs	crates/erp-supply/src/repository/owned/supplier_offering_availability.rs	database/src/repository/supplier_offering.rs
SupplierOfferingCommand	SupplierOfferingCommandRepository	01	16	erp-supply	database/src/repository/owned/supplier_offering_command.rs	crates/erp-supply/src/repository/owned/supplier_offering_command.rs	database/src/repository/supplier_offering.rs
SupplierOfferingRevision	SupplierOfferingRevisionRepository	01	16	erp-supply	database/src/repository/owned/supplier_offering_revision.rs	crates/erp-supply/src/repository/owned/supplier_offering_revision.rs	database/src/repository/supplier_offering.rs,database/src/repository/supplier_offering/query.rs
SupplierOrderAction	SupplierOrderActionRepository	01	16	erp-supply	database/src/repository/owned/supplier_order_action.rs	crates/erp-supply/src/repository/owned/supplier_order_action.rs	database/src/repository/supplier_fulfillment.rs
SupplierOrderActionLine	SupplierOrderActionLineRepository	01	16	erp-supply	database/src/repository/owned/supplier_order_action_line.rs	crates/erp-supply/src/repository/owned/supplier_order_action_line.rs	database/src/repository/supplier_fulfillment.rs
SupplierOrderStatusHistory	SupplierOrderStatusHistoryRepository	01	16	erp-supply	database/src/repository/owned/supplier_order_status_history.rs	crates/erp-supply/src/repository/owned/supplier_order_status_history.rs	database/src/repository/supplier_fulfillment.rs
SupplierPayment	SupplierPaymentRepository	01	09	erp-finance	database/src/repository/owned/supplier_payment.rs	crates/erp-finance/src/repository/owned/supplier_payment.rs	database/src/repository/payable/payment.rs
SupplierProfileCommand	SupplierProfileCommandRepository	01	05	erp-supplier	database/src/repository/owned/supplier_profile_command.rs	crates/erp-supplier/src/repository/owned/supplier_profile_command.rs	database/src/repository/supplier/command.rs
SupplierQualification	SupplierQualificationRepository	01	05	erp-supplier	database/src/repository/owned/supplier_qualification.rs	crates/erp-supplier/src/repository/owned/supplier_qualification.rs	database/src/repository/supplier/qualification.rs
SupplierQualificationCapability	SupplierQualificationCapabilityRepository	01	05	erp-supplier	database/src/repository/owned/supplier_qualification_capability.rs	crates/erp-supplier/src/repository/owned/supplier_qualification_capability.rs	database/src/repository/supplier/qualification.rs
SupplierRefund	SupplierRefundRepository	01	13	erp-returns	database/src/repository/owned/supplier_refund.rs	crates/erp-returns/src/repository/owned/supplier_refund.rs	database/src/repository/returns.rs,database/src/repository/returns_posted_totals.rs
SupplierRefundAllocation	SupplierRefundAllocationRepository	01	16	erp-supply	database/src/repository/owned/supplier_refund_allocation.rs	crates/erp-supply/src/repository/owned/supplier_refund_allocation.rs	database/src/repository/supplier_fulfillment.rs
SupplierRefundFact	SupplierRefundFactRepository	01	16	erp-supply	database/src/repository/owned/supplier_refund_fact.rs	crates/erp-supply/src/repository/owned/supplier_refund_fact.rs	database/src/repository/supplier_fulfillment.rs
SupplierSettlementDifference	SupplierSettlementDifferenceRepository	01	16	erp-supply	database/src/repository/owned/supplier_settlement_difference.rs	crates/erp-supply/src/repository/owned/supplier_settlement_difference.rs	database/src/repository/supplier_settlement/difference.rs
SupplierSettlementDifferenceEvidence	SupplierSettlementDifferenceEvidenceRepository	01	16	erp-supply	database/src/repository/owned/supplier_settlement_difference_evidence.rs	crates/erp-supply/src/repository/owned/supplier_settlement_difference_evidence.rs	database/src/repository/supplier_settlement/difference.rs
SupplierSettlementItem	SupplierSettlementItemRepository	01	16	erp-supply	database/src/repository/owned/supplier_settlement_item.rs	crates/erp-supply/src/repository/owned/supplier_settlement_item.rs	database/src/repository/supplier_settlement/item.rs
SupplierSettlementSourceEvidence	SupplierSettlementSourceEvidenceRepository	01	16	erp-supply	database/src/repository/owned/supplier_settlement_source_evidence.rs	crates/erp-supply/src/repository/owned/supplier_settlement_source_evidence.rs	database/src/repository/supplier_settlement/statement.rs
SupplierSettlementStatement	SupplierSettlementStatementRepository	01	16	erp-supply	database/src/repository/owned/supplier_settlement_statement.rs	crates/erp-supply/src/repository/owned/supplier_settlement_statement.rs	database/src/repository/supplier_settlement/statement.rs
UnitOfMeasure	UnitOfMeasureRepository	01	06	erp-catalog	database/src/repository/owned/unit_of_measure.rs	crates/erp-catalog/src/repository/owned/unit_of_measure.rs	database/src/repository/catalog/dictionary.rs
UserRole	UserRoleRepository	01	02	erp-identity	database/src/repository/owned/user_role.rs	crates/erp-identity/src/repository/owned/user_role.rs	database/src/repository/access_control.rs
